iter	Passed	Remaining
881	32938	4406
882	32974	4369
883	33007	4331
884	33068	4297
885	33116	4261
886	33154	4223
887	33196	4186
888	33227	4148
889	33263	4111
890	33294	4073
891	33327	4035
892	33363	3997
893	33398	3959
894	33433	3922
895	33466	3884
896	33505	3847
897	33538	3809
898	33582	3772
899	33633	3737
900	33691	3701
901	33732	3664
902	33774	3628
903	33833	3592
904	33877	3556
905	33916	3518
906	33956	3481
907	33993	3444
908	34027	3406
909	34061	3368
910	34096	3331
911	34135	3293
912	34168	3255
913	34208	3218
914	34248	3181
915	34284	3144
916	34319	3106
917	34354	3068
918	34393	3031
919	34431	2994
920	34461	2955
921	34494	2918
922	34529	2880
923	34574	2843
924	34625	2807
925	34673	2770
926	34707	2733
927	34743	2695
928	34782	2658
929	34817	2620
930	34854	2583
931	34886	2545
932	34917	2507
933	34953	2469
934	34993	2432
935	35030	2395
936	35062	2357
937	35097	2319
938	35134	2282
939	35168	2244
940	35204	2207
941	35240	2169
942	35284	2132
943	35340	2096
944	35394	2059
945	35443	2023
946	35502	1986
947	35552	1950
948	35601	1913
949	35669	1877
950	35720	1840
951	35769	1803
952	35829	1767
953	35874	1729
954	35930	1693
955	35972	1655
956	36026	1618
957	36090	1582
958	36139	1545
959	36193	1508
960	36253	1471
961	36303	1434
962	36351	1396
963	36414	1359
964	36468	1322
965	36515	1285
966	36564	1247
967	36619	1210
968	36670	1173
969	36721	1135
970	36795	1098
971	36849	1061
972	36899	1023
973	36959	986
974	37008	948
975	37057	911
976	37112	873
977	37155	835
978	37195	797
979	37234	759
980	37270	721
981	37311	683
982	37349	645
983	37381	607
984	37426	569
985	37459	531
986	37498	493
987	37532	455
988	37565	417
989	37605	379
990	37645	341
991	37677	303
992	37709	265
993	37743	227
994	37785	189
995	37822	151
996	37853	113
997	37887	75
998	37925	37
999	37965	0
